frame_number,x_offset,x_offset_meters
7077,219.0,0.096
7096,186.0,0.0815
7128,56.0,0.0245
7144,1.0,0.0004
7159,-14.0,-0.0061
7176,-4.0,-0.0018
7200,103.0,0.0451
7224,130.0,0.057
7240,93.0,0.0407
7279,-5.0,-0.0022
7295,-19.0,-0.0083
7319,-67.0,-0.0294
7334,-87.0,-0.0381
7351,-106.0,-0.0464
7368,-73.0,-0.032
7383,-29.0,-0.0127
7402,-5.0,-0.0022
7417,28.0,0.0123
7432,-37.0,-0.0162
7454,-107.0,-0.0469
7469,-146.0,-0.064
7484,-147.0,-0.0644
7500,-178.0,-0.078
7515,-105.0,-0.046
7530,-59.0,-0.0258
7550,10.0,0.0044
7565,12.0,0.0053
7574,34.0,0.0149
7595,383.0,0.1678
7610,416.0,0.1823
7625,342.0,0.1498
7642,405.0,0.1774
7650,384.0,0.1682
7669,361.0,0.1582
7684,358.0,0.1569
7699,351.0,0.1538
7717,290.0,0.1271
7733,362.0,0.1586
7748,337.0,0.1477
7763,273.0,0.1196
7778,350.0,0.1533
7794,392.0,0.1717
7823,360.0,0.1577
7838,331.0,0.145
7864,283.0,0.124
7884,297.0,0.1301
7901,385.0,0.1687
7918,-432.0,-0.1893
7933,368.0,0.1612
7954,307.0,0.1345
7969,342.0,0.1498
7984,365.0,0.1599
7999,380.0,0.1665
8000,-590.0,-0.2585
8015,369.0,0.1617
8016,-559.0,-0.2449
8032,374.0,0.1639
8047,413.0,0.1809
8062,401.0,0.1757
8077,328.0,0.1437
8092,378.0,0.1656
8109,381.0,0.1669
8128,341.0,0.1494
8143,385.0,0.1687
8158,352.0,0.1542
8159,-505.0,-0.2213
8174,419.0,0.1836
8190,408.0,0.1788
8206,349.0,0.1529
8221,349.0,0.1529
8236,341.0,0.1494
8254,280.0,0.1227
8269,281.0,0.1231
8284,297.0,0.1301
8299,436.0,0.191
8314,351.0,0.1538
8315,-600.0,-0.2629
8338,421.0,0.1845
8355,397.0,0.1739
8379,373.0,0.1634
8398,382.0,0.1674
8415,436.0,0.191
8432,504.0,0.2208
8448,517.0,0.2265
8449,-622.0,-0.2725
8467,447.0,0.1958
8483,-576.0,-0.2524
8484,377.0,0.1652
8507,385.0,0.1687
8510,331.0,0.145
8534,362.0,0.1586
8551,386.0,0.1691
8566,345.0,0.1512
8582,-663.0,-0.2905
8585,428.0,0.1875
8600,499.0,0.2186
8601,-686.0,-0.3006
