frame_number,time_s,x,y,x_offset
10416,347.17,1274,205,314.0
10436,347.83,1255,339,295.0
10451,348.33,1284,360,324.0
10475,349.13,1294,670,334.0
10490,349.63,1382,491,422.0
10494,349.77,1314,436,354.0
10521,350.67,1257,495,297.0
10551,351.67,1225,421,265.0
10573,352.4,1253,451,293.0
10593,353.07,1271,207,311.0
10608,353.57,1343,451,383.0
10609,353.6,293,557,-667.0
10629,354.27,1310,607,350.0
10644,354.77,1417,311,457.0
10664,355.43,1318,393,358.0
10680,355.97,388,519,-572.0
10697,356.53,323,363,-637.0
10720,357.3,1202,122,242.0
10738,357.9,1189,420,229.0
10755,358.47,1160,727,200.0
10770,358.97,1326,401,366.0
10785,359.47,1321,518,361.0
10806,360.17,1290,514,330.0
10824,360.77,1294,631,334.0
10842,361.37,1178,726,218.0
10860,361.97,1165,504,205.0
10876,362.5,1136,373,176.0
10905,363.47,1197,286,237.0
10920,363.97,1253,416,293.0
10921,364.0,288,529,-672.0
10938,364.57,279,176,-681.0
10939,364.6,1250,548,290.0
10962,365.37,1304,66,344.0
10977,365.87,316,260,-644.0
10993,366.4,1275,491,315.0
10995,366.47,237,460,-723.0
10996,366.5,1239,605,279.0
11001,366.67,220,431,-740.0
11016,367.17,1197,623,237.0
11031,367.67,1153,713,193.0
11046,368.17,240,676,-720.0
11047,368.2,1210,411,250.0
11066,368.83,1162,591,202.0
11087,369.53,1190,662,230.0
11104,370.1,1321,455,361.0
11120,370.63,307,402,-653.0
11121,370.67,1281,664,321.0
11136,371.17,282,283,-678.0
11138,371.23,1286,569,326.0
11153,371.73,273,570,-687.0
11185,372.8,1169,604,209.0
11210,373.63,1161,532,201.0
11229,374.27,345,397,-615.0
11250,374.97,1328,440,368.0
11268,375.57,338,683,-622.0
11285,376.13,1257,555,297.0
11317,377.2,1192,598,232.0
11332,377.7,1178,426,218.0
11361,378.67,1159,695,199.0
11397,379.87,1180,503,220.0
11412,380.37,1260,510,300.0
11441,381.33,1166,613,206.0
11442,381.37,276,470,-684.0
11460,381.97,1183,373,223.0
11495,383.13,1203,533,243.0
11496,383.17,237,530,-723.0
11516,383.83,1275,491,315.0
11536,384.5,1251,646,291.0
11552,385.03,1342,444,382.0
11581,386.0,1252,441,292.0
11625,387.47,1246,261,286.0
11645,388.13,1207,606,247.0
11660,388.63,1293,571,333.0
11662,388.7,405,588,-555.0
11677,389.2,317,360,-643.0
11678,389.23,1366,516,406.0
11693,389.73,333,428,-627.0
11705,390.13,1330,541,370.0
11721,390.67,352,638,-608.0
11742,391.37,1326,532,366.0
11773,392.4,1292,667,332.0
11774,392.43,343,432,-617.0
11795,393.13,1318,541,358.0
11796,393.17,425,558,-535.0
11824,394.1,1344,509,384.0
11825,394.13,483,441,-477.0
11840,394.63,1394,423,434.0
11855,395.13,1446,442,486.0
11870,395.63,1443,552,483.0
11885,396.13,1518,389,558.0
11901,396.67,1433,570,473.0
11929,397.6,358,482,-602.0
11951,398.33,1269,555,309.0
11976,399.17,1367,160,407.0
11977,399.2,423,299,-537.0
11993,399.73,1262,673,302.0
12012,400.37,1405,362,445.0
12028,400.9,348,533,-612.0
12044,401.43,1350,667,390.0
12066,402.17,1485,260,525.0
12085,402.8,1385,509,425.0
12108,403.57,1316,668,356.0
12123,404.07,353,412,-607.0
12140,404.63,419,509,-541.0
12155,405.13,1312,327,352.0
12173,405.73,369,354,-591.0
12188,406.23,1274,435,314.0
12206,406.83,1245,438,285.0
12224,407.43,1209,511,249.0
12239,407.93,1150,478,190.0
12261,408.67,1172,508,212.0
12276,409.17,1175,695,215.0
12299,409.93,1251,649,291.0
12314,410.43,1335,670,375.0
12336,411.17,1389,598,429.0
12339,411.27,508,652,-452.0
12357,411.87,1409,230,449.0
12387,412.87,376,251,-584.0
12405,413.47,1345,630,385.0
12421,414.0,402,620,-558.0
12436,414.5,370,381,-590.0
12456,415.17,1437,541,477.0
12478,415.9,1493,330,533.0
12496,416.5,1378,667,418.0
12514,417.1,396,431,-564.0
12531,417.67,282,291,-678.0
12532,417.7,1505,558,545.0
12548,418.23,1509,492,549.0
12566,418.83,213,432,-747.0
12581,419.33,1469,533,509.0
12597,419.87,307,516,-653.0
12615,420.47,363,609,-597.0
12641,421.33,1538,292,578.0
12656,421.83,448,417,-512.0
12672,422.37,1385,701,425.0
12693,423.07,1364,375,404.0
12717,423.87,332,474,-628.0
12734,424.43,324,594,-636.0
12756,425.17,1266,566,306.0
12783,426.07,1355,540,395.0
12784,426.1,410,682,-550.0
12801,426.67,1385,360,425.0
12816,427.17,295,374,-665.0
12831,427.67,1375,532,415.0
12847,428.2,1300,635,340.0
12879,429.27,1247,328,287.0
12897,429.87,1209,566,249.0
12919,430.6,302,671,-658.0
12938,431.23,1365,617,405.0
12957,431.87,1466,487,506.0
12972,432.37,1373,856,413.0
13008,433.57,477,596,-483.0
13027,434.2,1309,372,349.0
13064,435.43,1223,517,263.0
13085,436.13,1294,495,334.0
13103,436.73,1405,282,445.0
13124,437.43,1343,570,383.0
13145,438.13,1349,341,389.0
13160,438.63,415,521,-545.0
13187,439.53,1168,308,208.0
13219,440.6,1129,585,169.0
13235,441.13,1097,645,137.0
13253,441.73,1182,544,222.0
13271,442.33,1216,575,256.0
13289,442.93,1203,732,243.0
13306,443.5,323,441,-637.0
13328,444.23,347,547,-613.0
13349,444.93,239,334,-721.0
13370,445.63,1069,717,109.0
13385,446.13,1051,663,91.0
13401,446.67,1110,467,150.0
13443,448.07,1231,569,271.0
13459,448.6,320,288,-640.0
13475,449.13,411,745,-549.0
13490,449.63,284,503,-676.0
13508,450.23,1180,576,220.0
13548,451.57,1097,751,137.0
13566,452.17,261,412,-699.0
13583,452.73,1185,710,225.0
13598,453.23,1315,449,355.0
13614,453.77,251,485,-709.0
13630,454.3,1279,670,319.0
13648,454.9,1245,760,285.0
